product_name,product_link
LAWLESS Satin Luxe Classic Cream Lipstick,https://www.sephora.com/product/lawless-classic-cream-lipstick-P454981?icid2=products%20grid:p454981
Ciaté London Glitter Storm Lipstick,https://www.sephora.com/product/glitter-storm-lipstick-P440513?icid2=products%20grid:p440513
SEPHORA COLLECTION #LIPSTORIES Natural Wonders Lipstick,https://www.sephora.com/product/sephora-collection-lipstories-natural-wonders-lipstick-P457431?icid2=products%20grid:p457431
Perricone MD No Makeup Lipstick Broad Spectrum SPF 15,https://www.sephora.com/product/no-lipstick-lipstick-spf-15-P386606?icid2=products%20grid:p386606
CLINIQUE Pop Matte Lip Colour + Primer,https://www.sephora.com/product/pop-matte-lip-colour-primer-P410815?icid2=products%20grid:p410815
Givenchy Le Rose Perfecto Color Lip Balm,https://www.sephora.com/product/le-rose-perfecto-P440027?icid2=products%20grid:p440027
Anastasia Beverly Hills Liquid Lipstick in Trouble,https://www.sephora.com/product/liquid-lipstick-P423923?icid2=products%20grid:p423923
NUDESTIX Cream Lip + Cheek Pencil,https://www.sephora.com/product/lip-cheek-pencil-P388952?icid2=products%20grid:p388952
SEPHORA COLLECTION Rouge Smooth Shine Lip Crayon,https://www.sephora.com/product/rouge-smooth-shine-lip-crayon-P439037?icid2=products%20grid:p439037
Kilian Le Rouge Parfum Scented Matte Lipstick,https://www.sephora.com/product/le-rouge-parfum-scented-lipstick-P449115?icid2=products%20grid:p449115
